id,akh_score,akh_logit_score,neg_sac_score,qurd_score
4,1.00000000,0.99999982,0.99999979,0.99999990
10,0.08163265,0.59973151,0.64523898,0.34978358
16,0.37551022,0.88657236,0.91057754,0.63584232
22,0.61632651,0.96795550,0.96817198,0.79218430
28,0.66938776,0.97150463,0.97074479,0.82029423
34,0.52653062,0.95375037,0.95446816,0.74028406
40,1.00000000,0.99999988,0.99999964,0.99999989
46,1.00000000,0.99999991,0.99999973,0.99999992
52,0.10612245,0.70678703,0.72887832,0.41087300
58,0.09387755,0.70517404,0.71014309,0.40051961
64,1.00000000,0.99999988,0.99999964,0.99999989
70,0.33469388,0.85948253,0.87378955,0.59994961
76,0.39183673,0.89495164,0.91491291,0.64738644
82,1.00000000,0.99999988,0.99999970,0.99999990
88,0.33061224,0.83986625,0.83846667,0.58495933
94,0.35918367,0.89668804,0.91713330,0.63202491
100,0.12653062,0.75500557,0.75961590,0.44169016
106,0.11020408,0.72301567,0.73108800,0.41822434
112,0.40408164,0.88998732,0.90767831,0.65057268
118,0.29387754,0.88440606,0.90181094,0.59262278
124,1.00000000,0.99999991,0.99999970,0.99999991
130,0.37142858,0.88519704,0.89979684,0.63123277
136,0.91020405,0.99541590,0.99437913,0.95260262
142,0.28571430,0.88684732,0.90477118,0.58986558
148,0.92244899,0.99439648,0.99545643,0.95863473
154,1.00000000,0.99999988,0.99999970,0.99999990
160,0.43265307,0.91591522,0.93238375,0.67757785
166,0.38367346,0.89747456,0.91526726,0.64413255
172,0.35102040,0.89697281,0.91446924,0.62749589
178,0.36326531,0.90077189,0.91353416,0.63457105
184,0.26938775,0.84879768,0.88121265,0.56557571
190,0.35918367,0.86107314,0.88008118,0.61393001
196,0.28163266,0.83280838,0.86462194,0.56358323
202,0.26530612,0.78180146,0.81855872,0.53090524
208,0.33061224,0.89143351,0.90745777,0.61422773
214,0.11428571,0.70158219,0.72360760,0.41233904
220,0.13061224,0.66415872,0.70719542,0.40599282
226,0.33877552,0.88489377,0.89959270,0.61477443
232,0.37551022,0.89114305,0.90476263,0.63605055
238,0.38775510,0.88604799,0.90335226,0.64036240
244,1.00000000,0.99999988,0.99999970,0.99999990
250,0.34285715,0.88820502,0.91188321,0.62026672
256,0.37551022,0.85781586,0.88198906,0.62149768
262,0.38367346,0.86722246,0.87511289,0.62702605
268,0.34285715,0.83635303,0.82914382,0.58816325
274,0.39183673,0.89307302,0.91429290,0.64669885
280,0.04897959,0.56857567,0.60122336,0.31530717
286,0.33877552,0.88412890,0.90804508,0.61623544
292,0.18775511,0.76180533,0.79979128,0.48237741
298,0.35918367,0.88650221,0.90138841,0.62582018
304,0.39591837,0.89751115,0.91227344,0.64966722
310,0.25714287,0.84461632,0.85876924,0.55371018
316,0.30204082,0.84191397,0.86504057,0.57660271
322,0.40408164,0.90127108,0.91732466,0.65588708
328,0.27346939,0.80329326,0.82670927,0.54306453
334,0.39183673,0.89733577,0.91416731,0.64795256
340,0.46938777,0.92491058,0.94213799,0.70059465
346,0.62857145,0.97024173,0.96831000,0.79902024
352,1.00000000,0.99999991,0.99999970,0.99999991
358,1.00000000,0.99999991,0.99999970,0.99999991
