id,akh_score,akh_logit_score,neg_sac_score,qurd_score
1,0.05306122,0.57913733,0.62077487,0.32442679
7,0.08979592,0.70462435,0.69833598,0.39595246
13,0.28979591,0.85926482,0.88011608,0.57870061
19,0.40408164,0.92195958,0.93549398,0.66572749
25,0.50612247,0.93708128,0.93637565,0.72146075
31,0.33877552,0.88601404,0.90326503,0.61584498
37,0.27346939,0.82970858,0.85058129,0.55576352
43,0.42040816,0.90365192,0.92606249,0.66651216
49,0.27346939,0.81663346,0.84654054,0.55103284
55,0.36326531,0.89411017,0.91290674,0.63244705
61,0.33061224,0.85180581,0.86585680,0.59401922
67,0.30612245,0.80916110,0.84612671,0.56503490
73,0.55510205,0.95084739,0.95604122,0.75401348
79,0.40408164,0.90381488,0.91629356,0.65644400
85,0.25306123,0.85550156,0.88156924,0.55949493
91,0.64081633,0.96931440,0.96951342,0.80510517
97,0.36734694,0.89922249,0.91330442,0.63610110
103,0.08571429,0.62633348,0.69161217,0.36907962
109,1.00000000,0.99999991,0.99999964,0.99999990
115,0.60816324,0.97066033,0.97210178,0.78970007
121,0.66938776,0.97113279,0.97129369,0.82029245
127,0.18775511,0.79397744,0.81252950,0.49457669
133,0.47346938,0.92536604,0.94221827,0.70278816
139,0.25306123,0.84229958,0.86069787,0.55136006
145,1.00000000,0.99999991,0.99999970,0.99999991
151,0.37142858,0.90154812,0.92701623,0.64158197
157,0.34693879,0.82063833,0.83717549,0.58709599
163,0.34693879,0.84130922,0.86029887,0.59792193
169,1.00000000,0.99999988,0.99999964,0.99999989
175,0.30204082,0.86438280,0.88623196,0.58758164
181,0.24489796,0.83009234,0.84171715,0.53982011
187,0.35510203,0.85900244,0.87825152,0.61090205
193,0.40816328,0.88262209,0.90927258,0.65072278
199,0.42448980,0.89921686,0.91182917,0.66437579
205,0.62040818,0.96218154,0.96129659,0.79111787
211,0.20000000,0.75900725,0.78835639,0.48537345
217,0.33061224,0.87273937,0.89141938,0.60541181
223,0.16326530,0.75645798,0.79304224,0.46717850
229,0.30204082,0.84894201,0.87147528,0.57999807
235,0.03265306,0.56994894,0.61727162,0.31076554
241,0.35510203,0.89416230,0.90800303,0.62740031
247,0.40000001,0.90422535,0.92173845,0.65561530
253,0.35918367,0.89441109,0.90784481,0.62948412
259,0.91020405,0.99648350,0.99735412,0.95351790
265,0.37551022,0.89903441,0.91577247,0.64061992
271,0.35102040,0.89691135,0.91438448,0.62746050
277,0.20408164,0.75862142,0.78810406,0.48724806
283,0.30612245,0.83419693,0.85851139,0.57502258
289,0.34693879,0.88996214,0.90632755,0.62172354
295,1.00000000,0.99999988,0.99999973,0.99999991
301,0.33469388,0.88496670,0.90041447,0.61291984
307,0.35918367,0.85708946,0.87546819,0.61181231
313,0.92244899,0.99816686,0.99742377,0.96015931
319,0.38775510,0.89263779,0.91908866,0.64548662
325,0.35918367,0.88784906,0.91174626,0.62829581
331,0.41224489,0.89763471,0.91429567,0.65827199
337,1.00000000,0.99999991,0.99999970,0.99999991
343,0.53469390,0.94737101,0.94857317,0.74127288
349,0.38367346,0.88438004,0.90410429,0.63797160
355,0.13061224,0.70727047,0.71080303,0.41964787
