id,akh_score,akh_logit_score,neg_sac_score,qurd_score
3,0.24897960,0.81757087,0.83477116,0.53671529
9,0.45306122,0.91005349,0.92334735,0.68421613
15,0.30204082,0.86223808,0.88439420,0.58657067
21,0.62040818,0.97330299,0.97164029,0.79652304
27,0.33877552,0.82690650,0.86862662,0.59118503
33,0.24897960,0.83106646,0.85022029,0.54385380
39,0.29387754,0.86074862,0.87492633,0.58014862
45,0.91836733,0.99758393,0.99703744,0.95786633
51,0.15918367,0.75635523,0.78431824,0.46336205
57,0.57551020,0.96731785,0.96757928,0.77146631
63,0.18775511,0.73064324,0.74884245,0.46283902
69,0.07346939,0.62989765,0.66893643,0.35949128
75,0.34285715,0.86125195,0.88178152,0.60616046
81,1.00000000,0.99999991,0.99999970,0.99999991
87,0.17142858,0.79957217,0.80659941,0.48690582
93,0.44489795,0.87494060,0.90093660,0.66511848
99,0.37551022,0.89780706,0.91616848,0.64033092
105,1.00000000,0.99999982,0.99999979,0.99999990
111,0.36734694,0.88690114,0.90627214,0.63099824
117,0.09387755,0.70323274,0.72566748,0.40304209
123,1.00000000,0.99999991,0.99999961,0.99999990
129,1.00000000,0.99999982,0.99999973,0.99999989
135,0.29795918,0.88660318,0.90593702,0.59614795
141,0.36734694,0.90760526,0.92453876,0.64086280
147,0.25714287,0.85062578,0.87824786,0.55940874
153,0.61632651,0.95767796,0.95922130,0.78731090
159,0.35510203,0.89736545,0.91273764,0.62930818
165,0.35510203,0.81585363,0.84974033,0.59225517
171,0.35918367,0.89477852,0.90731826,0.62948904
177,0.19183673,0.76036119,0.79535165,0.48309705
183,0.23265307,0.83476171,0.85865602,0.53848625
189,0.35510203,0.86842722,0.89915603,0.61791039
195,0.91836733,0.99765855,0.99664462,0.95781015
201,0.35102040,0.88435459,0.90330520,0.62147762
207,0.39591837,0.90717754,0.92226276,0.65456500
213,0.41632652,0.89919755,0.91162822,0.66024817
219,0.40408164,0.90541008,0.92365479,0.65839480
225,0.23673469,0.83841082,0.85738242,0.54136707
231,0.69387758,0.98077255,0.98146358,0.83746327
237,0.35918367,0.86377048,0.89031923,0.61678683
243,0.82448977,0.96810719,0.89694831,0.88206671
249,0.25306123,0.78234446,0.82000464,0.52523488
255,0.28163266,0.81693631,0.84968716,0.55583466
261,0.58367348,0.96054003,0.95889720,0.77177819
267,0.35510203,0.89774784,0.91736788,0.63034894
273,0.62857145,0.97200325,0.97221097,0.80032890
279,0.31836733,0.88949326,0.90675771,0.60738319
285,0.45306122,0.91586357,0.93376428,0.68804254
291,0.38367346,0.88400277,0.90198848,0.63743526
297,0.37551022,0.89025238,0.90867788,0.63656640
303,0.38775510,0.88838899,0.90037459,0.64046916
309,0.37551022,0.89914092,0.91521344,0.64054007
315,1.00000000,0.99999991,0.99999973,0.99999992
321,0.33877552,0.86613223,0.88362336,0.60595210
327,0.37551022,0.88807312,0.90058339,0.63429372
333,0.39183673,0.90206948,0.91764072,0.65006735
339,0.47755101,0.92378095,0.93989193,0.70388818
345,0.23673469,0.79833955,0.81359190,0.52058759
351,0.36734694,0.89917770,0.90966931,0.63536064
357,0.33061224,0.88706636,0.90519485,0.61246500
