id,akh_score,akh_logit_score,neg_sac_score,qurd_score
2,0.39183673,0.89929119,0.91548181,0.64880208
8,0.88979590,0.99104244,0.99415025,0.94104073
14,0.91020405,0.99531978,0.99693555,0.95308507
20,0.06122449,0.68956222,0.68130003,0.37374092
26,0.53469390,0.94060862,0.93715897,0.73696133
32,0.39183673,0.86250529,0.87658983,0.62998792
38,0.37551022,0.90005130,0.91218895,0.64020829
44,0.36734694,0.86323062,0.89297378,0.62123741
50,0.24897960,0.83990940,0.87050605,0.55056383
56,0.38775510,0.89630321,0.91388333,0.64554518
62,0.28979591,0.83656114,0.86349791,0.56856588
68,0.37142858,0.89755863,0.91522366,0.63802661
74,0.26122448,0.84461978,0.87186235,0.55837064
80,0.11020408,0.69636323,0.70355205,0.40472142
86,0.75918365,0.98334283,0.98270014,0.87113470
92,0.17142858,0.80155456,0.81445670,0.48907200
98,0.18367347,0.75457630,0.78523314,0.47525625
104,0.89795917,0.99771020,0.99758273,0.94780919
110,0.88979590,0.99603128,0.99594215,0.94289576
116,1.00000000,0.99999988,0.99999970,0.99999990
122,0.35102040,0.87371910,0.89860383,0.61734669
128,0.35918367,0.88775116,0.90585414,0.62708801
134,0.12653062,0.75045016,0.75199997,0.43880035
140,0.64081633,0.97306874,0.97430405,0.80718960
146,0.48571429,0.92980245,0.94439542,0.71067696
152,0.34693879,0.85138485,0.86699280,0.60228341
158,0.35102040,0.89580595,0.91726235,0.62770445
164,0.07346939,0.69457939,0.68952468,0.38301345
170,0.15918367,0.75584167,0.78457597,0.46325953
176,0.10204082,0.74136005,0.74794488,0.42301740
182,0.67755103,0.97884098,0.97949013,0.82832583
188,0.39591837,0.89559019,0.91077584,0.64879141
194,0.33469388,0.88462725,0.90655550,0.61404622
200,0.35510203,0.89702150,0.91607243,0.62987195
206,0.34285715,0.86866578,0.89294162,0.61061664
212,0.30612245,0.86666664,0.89260176,0.59158157
218,0.92244899,0.99734011,0.99655601,0.95973773
224,0.93061227,0.99811888,0.99917153,0.96457610
230,0.09387755,0.69980285,0.69738074,0.39635578
236,0.87755102,0.99609390,0.99528763,0.93666120
242,0.35510203,0.88864118,0.90250817,0.62464500
248,0.33061224,0.86253351,0.87723660,0.59951349
254,1.00000000,0.99999982,0.99999973,0.99999989
260,0.13877551,0.74635769,0.74750200,0.44279546
266,0.19183673,0.75424600,0.77830809,0.47785378
272,0.38775510,0.90005213,0.91636813,0.64716681
278,0.12653062,0.70023070,0.72132209,0.41759894
284,0.31836733,0.84809688,0.86827978,0.58726869
290,0.11428571,0.70452467,0.72713256,0.41392677
296,0.11020408,0.75240725,0.75499082,0.43182238
302,0.44489795,0.90903616,0.92305747,0.67977132
308,0.11836734,0.66001581,0.69556548,0.39630151
314,0.28979591,0.85324520,0.87566635,0.57600478
320,0.51836735,0.93791199,0.94122711,0.72880269
326,0.38367346,0.90225464,0.92582786,0.64767869
332,0.45714286,0.87954411,0.90532389,0.67349944
338,0.38367346,0.90020087,0.91608498,0.64511399
344,0.23673469,0.78091249,0.82327077,0.51729524
350,0.45306122,0.92541847,0.94054246,0.69226464
356,0.27346939,0.83657798,0.86050174,0.55980844
